,urls,pageviews,users,new_users,returning_users,clean_url
215,https://market/stock-market-news/stocks-to-watch-ril-lakshmi-vilas-bank-mindtree-dr-reddy-s-sun-pharma-ceat-11601259499312.html,7,3,0,3,https://market/stock-market-news/stocks-to-watch-ril-lakshmi-vilas-bank-mindtree-dr-reddy-s-sun-pharma-ceat
220,https://news/india/delhi-govt-has-no-money-to-pay-salaries-writes-to-centre-for-rs5-000-crore-11590917422950.html,7,5,1,4,https://news/india/delhi-govt-has-no-money-to-pay-salaries-writes-to-centre-for-rs5-000-crore
224,https://news/india/why-antitrust-is-a-jumbo-indian-problem-11596375452543.html,7,4,1,3,https://news/india/why-antitrust-is-a-jumbo-indian-problem
227,https://technology/tech-news/sony-microsoft-consoles-struggle-with-thin-launch-day-stock/amp-11605759717588.html,7,7,2,5,https://technology/tech-news/sony-microsoft-consoles-struggle-with-thin-launch-day-stock/amp
229,https://Epaper/Delhi/17/11/2020/Page/08: top stories,6,6,0,6,epaper/Delhi/17/11/2020/Page/08:%20top%20stories
232,https://Money/KVpRnmlznCLrqssriFnZdL/You-cannot-draw-on-provident-fund-to-pay-a-personal-loan.html,6,5,2,3,money/KVpRnmlznCLrqssriFnZdL/You-cannot-draw-on-provident-fund-to-pay-a-personal-loan.html
235,https://Search/Link/Author/Rahul-Jacob,6,6,0,6,search/Link/Author/Rahul-Jacob
237,https://companies/company-results/hal-s-q2-net-profit-decreases-marginally-to-rs-615-cr/amp-11605262481364.html,6,6,2,4,https://companies/company-results/hal-s-q2-net-profit-decreases-marginally-to-rs-615-cr/amp
238,https://companies/news/digital-platforms-shine-spotlight-on-small-medium-biz-11605231496404.html,6,6,1,5,https://companies/news/digital-platforms-shine-spotlight-on-small-medium-biz
239,https://companies/news/meteor-350-aimed-at-pulling-customers-from-other-brands-sid-lal-11605193221741.html,6,5,0,5,https://companies/news/meteor-350-aimed-at-pulling-customers-from-other-brands-sid-lal
241,https://companies/people/we-never-told-the-coronil-can-cure-or-control-corona-patanjali-ceo-acharya-balkrishna/amp-11593514785834.html,6,6,2,4,https://companies/people/we-never-told-the-coronil-can-cure-or-control-corona-patanjali-ceo-acharya-balkrishna/amp
245,https://market/stock-market-news/govt-s-divestment-efforts-may-get-a-15-000-cr-boost-11601865784809.html,6,6,1,5,https://market/stock-market-news/govt-s-divestment-efforts-may-get-a-15-000-cr-boost
247,https://money/personal-finance/contribution-to-eps-is-not-payable-from-employee-s-pf-share/amp-11595526174923.html,6,5,2,3,https://money/personal-finance/contribution-to-eps-is-not-payable-from-employee-s-pf-share/amp
248,https://money/personal-finance/income-tax-officers-suggest-40-tax-on-super-rich-covid-relief-cess-11587894341797.html,6,5,2,3,https://money/personal-finance/income-tax-officers-suggest-40-tax-on-super-rich-covid-relief-cess
249,https://money/personal-finance/sbi-revises-fixed-deposit-fd-interest-rates-check-latest-rates-here-11570599090824.html,6,3,1,2,https://money/personal-finance/sbi-revises-fixed-deposit-fd-interest-rates-check-latest-rates-here
250,https://news/delhi-govt-provided-over-60-000-oximeters-to-covid-19-patients-data/amp-11601217980428.html,6,5,2,3,https://news/delhi-govt-provided-over-60-000-oximeters-to-covid-19-patients-data/amp
251,https://news/india/bengaluru-metro-train-network-to-be-extended-check-new-routes/amp-11573174168643.html,6,5,2,3,https://news/india/bengaluru-metro-train-network-to-be-extended-check-new-routes/amp
252,https://news/india/defence-ministry-withdraws-order-on-income-tax-deduction-from-disability-pension-11583247710845.html,6,6,2,4,https://news/india/defence-ministry-withdraws-order-on-income-tax-deduction-from-disability-pension
253,https://news/india/govt-relaxes-visa-rules-oci-and-pio-card-holders-can-visit-india-11603352892070.html,6,4,1,3,https://news/india/govt-relaxes-visa-rules-oci-and-pio-card-holders-can-visit-india
258,https://news/world/us-fda-authorizes-first-covid-19-test-for-self-testing-at-home-11605668508702.html,6,6,1,5,https://news/world/us-fda-authorizes-first-covid-19-test-for-self-testing-at-home
264,https://Consumer/vj5e3v3uGyQR9KRwcvNBvN/Millennials-to-redefine-Indias-consumption-story-report.html,5,4,1,3,consumer/vj5e3v3uGyQR9KRwcvNBvN/Millennials-to-redefine-Indias-consumption-story-report.html
265,https://Home/MShareImage?Pictureid=19118b8330fb,5,5,0,5,home/MShareImage?Pictureid=19118b8330fb
268,https://Money/78YOwFK3k4HVt32iCqx5QO/Monthly-family-pension-is-exempt-under-certain-circumstances.html?facet=amp,5,3,1,2,money/78YOwFK3k4HVt32iCqx5QO/Monthly-family-pension-is-exempt-under-certain-circumstances.html?facet=amp
271,https://Opinion/K7BtzvPYmyO0KlDn21iixH/How-to-break-the-back-of-Indias-Leftwing-ecosystem.html,5,5,2,3,opinion/K7BtzvPYmyO0KlDn21iixH/How-to-break-the-back-of-Indias-Leftwing-ecosystem.html
273,https://Politics/gx6Uh1sl0uEgCY1tGHUuPI/Bank-account-details-not-in-RTI-ambit.html?facet=amp,5,5,2,3,politics/gx6Uh1sl0uEgCY1tGHUuPI/Bank-account-details-not-in-RTI-ambit.html?facet=amp
274,https://Search/Link/Author/Shubham-Ladha,5,4,1,3,search/Link/Author/Shubham-Ladha
276,https://brand-post/invest-in-companies-before-they-launch-their-ipos/amp-11587472378958.html,5,4,1,3,https://brand-post/invest-in-companies-before-they-launch-their-ipos/amp
277,https://companies/cost-cutting-bears-fruit-for-auto-firms/amp-11605233837398.html,5,5,0,5,https://companies/cost-cutting-bears-fruit-for-auto-firms/amp
287,https://insurance/news/a-perfect-gift-for-your-family-this-festive-season/amp-11605313454292.html,5,5,2,3,https://insurance/news/a-perfect-gift-for-your-family-this-festive-season/amp
289,https://market/stock-market-news/morgan-stanley-s-ridham-desai-says-indian-markets-attractive-likes-mid-caps/amp-11602834157399.html,5,5,2,3,https://market/stock-market-news/morgan-stanley-s-ridham-desai-says-indian-markets-attractive-likes-mid-caps/amp
291,https://money/ask-mint-money/during-the-limitation-period-legal-heirs-can-object-to-asset-transfer-1568127638170.html,5,3,1,2,money/ask-mint-money/during-the-limitation-period-legal-heirs-can-object-to-asset-transfer-1568127638170.html
293,https://money/personal-finance/india-post-payments-bank-ippb-rolls-out-of-aadhaar-enabled-payment-services-aeps-10-things-to-know/amp-1568024793422.html,5,4,0,4,money/personal-finance/india-post-payments-bank-ippb-rolls-out-of-aadhaar-enabled-payment-services-aeps-10-things-to-know/amp-1568024793422.html
294,https://money/personal-finance/pan-aadhaar-linking-deadline-september-30-failure-name-mismatch/amp-1569493056484.html,5,3,1,2,money/personal-finance/pan-aadhaar-linking-deadline-september-30-failure-name-mismatch/amp-1569493056484.html
296,https://mutual-fund/mf-news/neelesh-surana-of-mirae-asset-shares-covid-proof-mutual-fund-investment-strategy/amp-11599612463892.html,5,4,1,3,https://mutual-fund/mf-news/neelesh-surana-of-mirae-asset-shares-covid-proof-mutual-fund-investment-strategy/amp
297,https://news/india/adani-group-set-to-develop-sri-lanka-s-east-container-terminal-in-colombo-port-11604395943597.html,5,3,1,2,https://news/india/adani-group-set-to-develop-sri-lanka-s-east-container-terminal-in-colombo-port
298,https://news/india/coronavirus-cases-rise-the-most-in-west-bengal-ahead-of-durga-puja-11603350262444.html,5,5,2,3,https://news/india/coronavirus-cases-rise-the-most-in-west-bengal-ahead-of-durga-puja
300,https://news/india/haryana-issues-new-guidelines-for-home-isolation-care-of-covid-19-patients/amp-11600487182443.html,5,5,1,4,https://news/india/haryana-issues-new-guidelines-for-home-isolation-care-of-covid-19-patients/amp
301,https://news/india/india-s-vaccine-production-capacity-to-help-humanity-in-fight-against-covid-pm-11601129085566.html,5,5,2,3,https://news/india/india-s-vaccine-production-capacity-to-help-humanity-in-fight-against-covid-pm
303,https://news/india/npci-launches-international-arm-for-adoption-of-upi-rupay-in-other-countries-11597846171558.html,5,4,1,3,https://news/india/npci-launches-international-arm-for-adoption-of-upi-rupay-in-other-countries
307,https://news/world/uk-study-finds-cellular-immunity-in-non-hospitalised-covid-cases-at-6-months-11604383001192.html,5,4,0,4,https://news/world/uk-study-finds-cellular-immunity-in-non-hospitalised-covid-cases-at-6-months
308,https://opinion/online-views/india-needs-an-open-capital-account-by-2025/amp-11599303164180.html,5,3,1,2,https://opinion/online-views/india-needs-an-open-capital-account-by-2025/amp
309,https://politics/policy/nhb-tightens-norms-on-hfcs-leverage-and-capital-adequacy-ratios-1561051669685.html,5,4,1,3,politics/policy/nhb-tightens-norms-on-hfcs-leverage-and-capital-adequacy-ratios-1561051669685.html
312,https://topic/vodafone-idea,5,4,1,3,topic/vodafone-idea
314,https://Companies/W1KcASuM6q2liXL3ALmJRJ/Bajaj-Group-plans-for-Gen-Next-with-a-family-settlement.html,4,3,0,3,companies/W1KcASuM6q2liXL3ALmJRJ/Bajaj-Group-plans-for-Gen-Next-with-a-family-settlement.html
315,https://Companies/z4Q2wkDfcUNq4uPsdyxAPP/PG-plans-to-eliminate-100-brands-to-focus-on-top-performers.html,4,1,0,1,companies/z4Q2wkDfcUNq4uPsdyxAPP/PG-plans-to-eliminate-100-brands-to-focus-on-top-performers.html
316,https://Epaper/M/Delhi/17/11/2020/Page/09,4,2,0,2,epaper/M/Delhi/17/11/2020/Page/09
317,https://Home/MShareImage?Pictureid=19111236aa1d,4,4,0,4,home/MShareImage?Pictureid=19111236aa1d
323,https://Money/BnwoF7nQJfFA4llR9ktkFL/What-you-need-to-know-before-taking-an-education-loan.html?facet=amp,4,4,1,3,money/BnwoF7nQJfFA4llR9ktkFL/What-you-need-to-know-before-taking-an-education-loan.html?facet=amp
325,https://Money/ihlm1NpnA3yZpbBHUnNxHP/Shortterm-capital-gains-tax-applies-if-you-sell-the-shares.html?facet=amp,4,3,1,2,money/ihlm1NpnA3yZpbBHUnNxHP/Shortterm-capital-gains-tax-applies-if-you-sell-the-shares.html?facet=amp
326,https://Multimedia/Nl2thJvsNbktoiHCIpPh8J/Chacha-Nehru-and-his-furry-friends.html?facet=amp,4,3,0,3,multimedia/Nl2thJvsNbktoiHCIpPh8J/Chacha-Nehru-and-his-furry-friends.html?facet=amp
329,https://Politics/5HU9KriaUIbYUaPdvdvtsO/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/611491258145177600,4,3,0,3,politics/5HU9KriaUIbYUaPdvdvtsO/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/611491258145177600
330,https://Politics/5HU9KriaUIbYUaPdvdvtsO/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/611491258145177600,4,3,0,3,politics/5HU9KriaUIbYUaPdvdvtsO/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/611491258145177600
334,https://Search/Link/Keyword/India-Investment,4,4,1,3,search/Link/Keyword/India-Investment
335,https://Search/Link/Keyword/loan-moratorium,4,3,0,3,search/Link/Keyword/loan-moratorium
338,https://brand-stories/how-does-the-workplace-of-the-future-look-like-11584713699808.html,4,3,0,3,https://brand-stories/how-does-the-workplace-of-the-future-look-like
339,https://companies/news/adani-power-board-approves-rs-3-264-crore-delisting-plan/amp-11592829821565.html,4,4,0,4,https://companies/news/adani-power-board-approves-rs-3-264-crore-delisting-plan/amp
341,https://companies/news/dr-reddy-s-gets-dcgi-nod-to-conduct-clinical-trial-for-sputnik-v-vaccine-in-india-11602932255342.html,4,4,1,3,https://companies/news/dr-reddy-s-gets-dcgi-nod-to-conduct-clinical-trial-for-sputnik-v-vaccine-in-india
344,https://companies/news/ril-appoints-former-indian-oil-chairman-sanjiv-singh-as-group-president/amp-11598437071251.html,4,4,1,3,https://companies/news/ril-appoints-former-indian-oil-chairman-sanjiv-singh-as-group-president/amp
345,https://companies/news/uncertainty-over-fds-in-dhfl-s-resolution/amp-11605056419960.html,4,4,1,3,https://companies/news/uncertainty-over-fds-in-dhfl-s-resolution/amp
347,https://companies/start-ups/deepika-padukone-invests-in-maker-of-epigamia-yogurt/amp-1557771851043.html,4,4,1,3,companies/start-ups/deepika-padukone-invests-in-maker-of-epigamia-yogurt/amp-1557771851043.html
350,https://industry/banking/loan-defaults-hit-nbfcs-fintech-firms-the-hardest/amp-11605574486543.html?__twitter_impression=true&s=09,4,4,1,3,https://industry/banking/loan-defaults-hit-nbfcs-fintech-firms-the-hardest/amp-11605574486543.html?__twitter_impression=true&s=09
351,https://industry/energy/govt-cuts-gas-price-by-25-to-lowest-on-record/amp-11601472586101.html,4,3,0,3,https://industry/energy/govt-cuts-gas-price-by-25-to-lowest-on-record/amp
355,https://market/ipo/shanghai-stock-exchange-suspends-ant-group-s-a-share-ipo/amp-11604412338257.html,4,3,1,2,https://market/ipo/shanghai-stock-exchange-suspends-ant-group-s-a-share-ipo/amp
356,https://market/mark-to-market/sbi-life-delivers-on-growth-metrics-but-profitability-underwhelms-11603773813425.html,4,4,0,4,https://market/mark-to-market/sbi-life-delivers-on-growth-metrics-but-profitability-underwhelms
357,https://market/stock-market-news/dow-slumps-over-360-pts-on-rising-coronavirus-cases-fading-stimulus-hopes-11603721300802.html,4,2,0,2,https://market/stock-market-news/dow-slumps-over-360-pts-on-rising-coronavirus-cases-fading-stimulus-hopes
361,https://money/personal-finance/a-daughter-has-an-equal-right-to-that-of-a-son-on-ancestral-property-11598979896164.html,4,4,1,3,https://money/personal-finance/a-daughter-has-an-equal-right-to-that-of-a-son-on-ancestral-property
364,https://money/personal-finance/ltc-cash-voucher-scheme-return-cash-payout-to-the-employer-if-you-spend-less/amp-11604115122805.html,4,3,0,3,https://money/personal-finance/ltc-cash-voucher-scheme-return-cash-payout-to-the-employer-if-you-spend-less/amp
365,https://money/personal-finance/register-property-release-deed-with-the-sub-registrar-of-assurances/amp-11579601021119.html,4,2,0,2,https://money/personal-finance/register-property-release-deed-with-the-sub-registrar-of-assurances/amp
367,https://mutual-fund/mf-news/sip-inflows-drop-for-6th-month-in-sept-investors-prefer-to-maintain-liquidity-11602590605845.html,4,3,1,2,https://mutual-fund/mf-news/sip-inflows-drop-for-6th-month-in-sept-investors-prefer-to-maintain-liquidity
368,https://news/india/8-ncr-districts-make-up-over-one-third-of-active-coronavirus-cases-in-up/amp-11594227601699.html,4,4,1,3,https://news/india/8-ncr-districts-make-up-over-one-third-of-active-coronavirus-cases-in-up/amp
371,https://news/india/covid-19-update-active-covid-cases-in-india-fall-below-7-lakh-as-nearly-74-000-recover-in-a-day-11603424620149.html,4,2,0,2,https://news/india/covid-19-update-active-covid-cases-in-india-fall-below-7-lakh-as-nearly-74-000-recover-in-a-day
375,https://news/india/india-receives-single-largest-infra-loan-from-kfw-for-mumbai-metro/amp-11604662719908.html,4,4,0,4,https://news/india/india-receives-single-largest-infra-loan-from-kfw-for-mumbai-metro/amp
376,https://news/india/indigo-completes-replacing-pw-engines-powering-its-a320-neo-fleet/amp-11598610472852.html,4,3,1,2,https://news/india/indigo-completes-replacing-pw-engines-powering-its-a320-neo-fleet/amp
378,https://news/india/neet-to-be-held-tomorrow-for-over-15-lakh-candidates-amid-strict-covid-19-precautions-11599913386533.html,4,3,0,3,https://news/india/neet-to-be-held-tomorrow-for-over-15-lakh-candidates-amid-strict-covid-19-precautions
381,https://news/india/the-growing-clamour-for-an-urban-jobs-scheme-11601903485203.html,4,4,0,4,https://news/india/the-growing-clamour-for-an-urban-jobs-scheme
387,https://politics/news/telangana-bjp-appoints-bhupender-yadav-as-election-incharge-for-upcoming-ghmc-polls-11605444842521.html,4,3,1,2,https://politics/news/telangana-bjp-appoints-bhupender-yadav-as-election-incharge-for-upcoming-ghmc-polls
388,https://science/health/covid-19-vaccine-race-spotlight-on-pfizer-moderna-as-trial-data-to-be-released-soon-11601976571287.html,4,4,0,4,https://science/health/covid-19-vaccine-race-spotlight-on-pfizer-moderna-as-trial-data-to-be-released-soon
392,https://v/s/www.livemint.com/news/world/how-jack-ma-blew-ant-s-35-billion-ipo/amp-11605706616879.html?amp_js_v=0.1&usqp=mq331AQFKAGwASA=,4,1,0,1,https://v/s/www.livemint.com/news/world/how-jack-ma-blew-ant-s-35-billion-ipo/amp-11605706616879.html?amp_js_v=0.1&usqp=mq331AQFKAGwASA=
394,https://Companies/IECJ5J1MJS8PTZpkZ439NN/Twitter-says-India-revenue-has-tripled.html,3,2,0,2,companies/IECJ5J1MJS8PTZpkZ439NN/Twitter-says-India-revenue-has-tripled.html
398,https://Companies/vU1NSyLeitWFe3UioxPPvL/Salary-wars-brew-among-top-law-firms.html?facet=amp,3,3,1,2,companies/vU1NSyLeitWFe3UioxPPvL/Salary-wars-brew-among-top-law-firms.html?facet=amp
401,https://Epaper/M/Delhi/20/10/2020/Page/00,3,1,0,1,epaper/M/Delhi/20/10/2020/Page/00
